Alias,Institution
federalruraluniversityofpernambuco,Universidade Federal Rural de Pernambuco
federalruraluniversityofpernambucoacademicunitofgaranhuns,Universidade Federal Rural de Pernambuco - Campus Garanhuns
federaluniversityofouropreto,Universidade Federal de Ouro Preto
federaluniversityofsaocarlos,Universidade Federal de São Carlos
federaluniversityofsaocarlosatsorocaba,Universidade Federal de São Carlos - Campus Sorocaba
federaluniversityofvaledosaofrancisco,Universidade Federal do Vale do São Francisco
federaluniversityruralofthesemiarid,Universidade Federal Rural do Semi-Árido
ifsoutheastmgjuizdefora,Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - Campus Juiz de Fora
instituteofcomputingfederaluniversityofamazonas,Instituto de Computação - Universidade Federal do Amazonas
institutodecomputacaoufam,Instituto de Computação - Universidade Federal do Amazonas
institutofederaldesantacatatrina,Instituto Federal de Santa Catarina
universityofbrasilia,Universidade de Brasília
