UF,Institution short name,Institution
AC,FAAO,Faculdade da Amazônia Ocidental
AC,FAMETA,Faculdade Meta
AC,FBRC,Faculdade Barão do Rio Branco
AC,IFAC,Instituto Federal de Educação, Ciência e Tecnologia do Acre
AC,UFAC,Universidade Federal do Acre
AC,UVERSE,Centro Universitário U:VERSE
AL,UFAL,Universidade Federal de Alagoas
AL,UFALCA,Universidade Federal de Alagoas - Campus Arapiraca
AM,IComp/UFAM,Institute of Computing - Federal University of Amazonas
AM,IESAM,Instituto de Estudos Superiores da Amazônia
AM,IFAM,Instituto Federal de Educação, Ciência e Tecnologia do Amazonas
AM,UEA,Universidade do Estado do Amazonas
AM,UEA-CEST,Universidade do Estado do Amazonas - Itacoatiara
AM,UFAM,Universidade Federal do Amazonas
AM,UFAM-CI,Universidade Federal do Amazonas - Campus Itacoatiara
AM,UNINORTE,UNINORTE - Laureate International Universities
AP,UNIFAP,Universidade Federal do Amapá
BA,FA1,Área1 – Faculdade de Ciência e Tecnologia
BA,FRB,Faculdade Ruy Barbosa
BA,IFBA-VC,Instituto Federal de Educação, Ciência e Tecnologia da Bahia - Campus Vitória da Conquista
BA,UCSAL,Universidade Catolica do Salvador
BA,UEFS,Universidade Estadual de Feira de Santana
BA,UESB,Universidade Estadual do Sudoeste da Bahia
BA,UESB-CJ,Universidade Estadual do Sudoeste da Bahia - Campus Jequié
BA,UESC,Universidade Estadual de Santa Cruz
BA,UFBA,Universidade Federal da Bahia
BA,UNIFACS,Universidade Salvador
BA,UNIME,UNIME - União Metropolitana de Educação e Cultura
CE,FAP,Faculdade Paraíso do Ceará
CE,FLF,Faculdade Lourenço Filho
CE,IFCE,Instituto Federal de Ensino, Ciência e Tecnologia do Ceará
CE,IFCE-CA,Instituto Federal de Educação, Ciência e Tecnologia do Ceará - Campus Aracati
CE,IFCE-CC,Instituto Federal de Educação, Ciência e Tecnologia do Ceará - Campus Crato
CE,IFCE-CM,Instituto Federal de Educação, Ciência e Tecnologia do Ceará - Maracanaú
CE,IFCE-CT,Instituto Federal de Educação, Ciência e Tecnologia do Ceará - Campus Tianguá
CE,UECE,Universidade Estadual do Ceará
CE,UEVA,Universidade Estadual Vale do Acaraú
CE,UFC - Crateús,Universidade Federal do Ceará - Campus Crateús
CE,UFC - Russas,Universidade Federal do Ceará - Campus Russas
CE,UFC,Universidade Federal do Ceará
CE,UFCA,Universidade Federal do Cariri
CE,UFCQXD,Universidade Federal do Ceará - Campus Quixadá
CE,UFERSA,Universidade Federal Rural do Semi-Árido
CE,Unichristus,Centro Universitário Christus
DF,CU - IESB,Centro Universitário IESB
DF,IFB,Instituto Federal de Educação, Ciência e Tecnologia de Brasília
DF,IFBT,Instituto Federal de Educação, Ciência e Tecnologia de Brasília - Taguatinga
DF,UnB,Universidade de Brasília
DF,UnB-FT,Faculdade de Tecnologia - UnB
DF,UnB/FGA,Universidade de Brasília - Faculdade UnB Gama
DF,UniCEUB,Centro Universitário de Brasília
ES,Ceunes UFES,Centro Universitário Norte do Espírito Santo - Universidade Federal do Espírito Santo
ES,IFES,Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo
ES,UFES,Universidade Federal do Espirito Santo
ES,UFES-CCENS-Alegre,UFES-Campus Alegre
ES,UVV,Centro Universitário Vila Velha
GO,CAJ/UFG,Universidade Federal de Goiás - Câmpus Jataí
GO,IFG-CI,Instituto Federal de Educação, Ciência e Tecnologia Goiano - Câmpus Iporá
GO,IFG-CU,Instituto Federal Goiano - Campus Urutaí
GO,IFGo-RV,Instituto Federal Goiano - Campus Rio Verde
GO,PUC-GO,Pontifícia Universidade Católica de Goiás
GO,UCG,Universidade Católica de Goiás
GO,UEG,Unidade Universitária de Ciências Exatas e Tecnológicas - UEG
GO,UFG,Instituto de Informática - UFG
GO,UniRV,Universidade de Rio Verde
MA,FACAM,FACULDADE DO MARANHAO
MA,IFMA,Instituto Federal de Educação, Ciência e Tecnologia do Maranhão
MA,UFMA,Universidade Federal do Maranhão
MA,UNDB,Unidade de Ensino Superior Dom Bosco - UNDB
MA,UNIBALSAS,Faculdade de Balsas
MG,CEFET-MG - Timóteo,Centro Federal de Educação Tecnológica de Minas Gerais Campus Timóteo
MG,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais
MG,CEFET-MG-C2,Centro Federal de Educação Tecnológica de Minas Gerais - Campus 2
MG,Centro Universitário,Centro Universitário do Planalto de Araxá
MG,CES/JF,Centro de Ensino Superior de Juiz de Fora
MG,DPI-UFV,Universidade Federal de Viçosa
MG,FACIT,Faculdade de Ciencia e Tecnologia de Montes Claros
MG,FAI,FAI - Centro de Ensino Superior em Gestão, Tecnologia e Educação
MG,FASA,Faculdades Santo Agostinho
MG,FGOC,Faculdade Governador Ozanam Coelho
MG,FPD,Faculdade Pitágoras Divinópolis
MG,FPU,Faculdade Politécnica de Uberlândia
MG,IFMG - Bambuí,Instituto Federal de Minas Gerais - Campus Bambuí
MG,IFMS,Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas
MG,IFNMG - Campus Monte,Instituto Federal Do Norte de Minas Gerais - Campus Montes Claros
